Date,Price,Open,High,Low,Vol.,Change %
8/18/2021,"28,440.00","28,360.00","28,640.00","28,240.00",8.87M,-0.14%
8/19/2021,"28,240.00","28,400.00","28,440.00","27,960.00",11.71M,-0.70%
8/20/2021,"26,880.00","28,240.00","28,280.00","26,440.00",26.19M,-4.82%
8/23/2021,"25,600.00","26,800.00","26,880.00","25,600.00",19.50M,-4.76%
8/24/2021,"25,840.00","25,600.00","26,000.00","25,360.00",11.36M,0.94%
8/25/2021,"25,960.00","25,760.00","26,000.00","25,520.00",6.08M,0.46%
8/26/2021,"25,560.00","26,040.00","26,080.00","25,440.00",6.18M,-1.54%
8/27/2021,"25,400.00","25,360.00","25,480.00","24,640.00",10.09M,-0.63%
8/30/2021,"25,720.00","25,440.00","25,920.00","25,280.00",10.04M,1.26%
8/31/2021,"25,600.00","26,000.00","26,080.00","25,600.00",6.91M,-0.47%
9/1/2021,"25,600.00","25,600.00","26,200.00","25,560.00",10.89M,0.00%
9/6/2021,"25,640.00","25,760.00","25,840.00","25,560.00",9.23M,0.16%
9/7/2021,"26,000.00","25,920.00","26,200.00","25,760.00",9.95M,1.40%
9/8/2021,"25,720.00","26,000.00","26,200.00","25,680.00",5.94M,-1.08%
9/9/2021,"25,960.00","25,600.00","25,960.00","25,560.00",4.29M,0.93%
9/10/2021,"25,840.00","26,000.00","26,040.00","25,800.00",5.13M,-0.46%
9/13/2021,"25,520.00","25,840.00","25,840.00","25,520.00",6.50M,-1.24%
9/14/2021,"25,200.00","25,480.00","25,600.00","25,200.00",5.64M,-1.25%
9/15/2021,"24,960.00","25,200.00","25,200.00","24,920.00",6.22M,-0.95%
9/16/2021,"25,040.00","25,000.00","25,240.00","24,960.00",4.32M,0.32%
9/17/2021,"25,280.00","25,280.00","25,440.00","25,080.00",5.72M,0.96%
9/20/2021,"25,680.00","25,600.00","25,840.00","25,480.00",7.98M,1.58%
9/21/2021,"25,440.00","25,440.00","25,600.00","25,160.00",4.85M,-0.93%
9/22/2021,"25,280.00","25,440.00","25,600.00","25,280.00",3.35M,-0.63%
9/23/2021,"25,280.00","25,360.00","25,440.00","25,200.00",5.26M,0.00%
9/24/2021,"25,600.00","25,440.00","25,720.00","25,280.00",8.36M,1.27%
9/27/2021,"25,200.00","25,760.00","25,920.00","25,200.00",6.00M,-1.56%
9/28/2021,"25,280.00","25,200.00","25,400.00","25,120.00",3.15M,0.32%
9/29/2021,"25,080.00","25,280.00","25,360.00","24,920.00",4.52M,-0.79%
9/30/2021,"25,240.00","25,080.00","25,280.00","25,040.00",5.49M,0.64%
10/1/2021,"25,200.00","25,200.00","25,240.00","24,880.00",8.05M,-0.16%
10/4/2021,"24,800.00","25,040.00","25,120.00","24,480.00",7.07M,-1.59%
10/5/2021,"25,200.00","24,800.00","25,200.00","24,800.00",3.64M,1.61%
10/6/2021,"25,080.00","25,240.00","25,320.00","24,880.00",4.15M,-0.48%
10/7/2021,"24,960.00","25,200.00","25,200.00","24,960.00",2.70M,-0.48%
10/8/2021,"25,160.00","25,120.00","25,240.00","25,000.00",4.35M,0.80%
10/11/2021,"26,080.00","25,280.00","26,080.00","25,280.00",8.36M,3.66%
10/12/2021,"26,080.00","26,320.00","26,320.00","25,920.00",4.23M,0.00%
10/13/2021,"26,080.00","26,080.00","26,320.00","26,000.00",4.64M,0.00%
10/14/2021,"25,840.00","26,080.00","26,160.00","25,760.00",5.65M,-0.92%
10/15/2021,"25,760.00","26,000.00","26,040.00","25,680.00",3.72M,-0.31%
10/18/2021,"25,600.00","25,880.00","26,080.00","25,600.00",5.68M,-0.62%
10/19/2021,"25,840.00","25,920.00","25,920.00","25,520.00",4.52M,0.94%
10/20/2021,"25,840.00","25,840.00","26,120.00","25,440.00",4.81M,0.00%
10/21/2021,"25,400.00","25,840.00","25,840.00","25,400.00",5.17M,-1.70%
10/22/2021,"25,280.00","25,520.00","25,560.00","25,160.00",4.78M,-0.47%
10/25/2021,"25,000.00","25,360.00","25,360.00","24,880.00",6.50M,-1.11%
10/26/2021,"24,880.00","25,000.00","25,000.00","24,640.00",6.57M,-0.48%
10/27/2021,"25,120.00","24,920.00","25,440.00","24,920.00",7.29M,0.96%
10/28/2021,"25,480.00","25,320.00","25,480.00","25,200.00",5.81M,1.43%
10/29/2021,"26,400.00","25,480.00","26,400.00","25,400.00",17.00M,3.61%
11/1/2021,"26,160.00","26,240.00","26,320.00","25,920.00",6.62M,-0.91%
11/2/2021,"26,520.00","26,160.00","26,520.00","26,040.00",8.76M,1.38%
11/3/2021,"27,080.00","26,640.00","27,280.00","26,600.00",16.33M,2.11%
11/4/2021,"26,800.00","27,240.00","27,240.00","26,760.00",5.25M,-1.03%
11/5/2021,"26,800.00","27,040.00","27,040.00","26,640.00",4.96M,0.00%
11/8/2021,"26,720.00","26,800.00","26,920.00","26,560.00",6.73M,-0.30%
11/9/2021,"26,760.00","26,720.00","27,040.00","26,680.00",6.31M,0.15%
11/10/2021,"26,720.00","26,800.00","26,840.00","26,520.00",5.46M,-0.15%
11/11/2021,"26,400.00","26,640.00","26,840.00","26,000.00",8.91M,-1.20%
11/12/2021,"26,680.00","26,400.00","26,680.00","26,120.00",5.47M,1.06%
11/15/2021,"26,720.00","26,720.00","26,880.00","26,600.00",6.10M,0.15%
11/16/2021,"26,520.00","26,680.00","26,720.00","26,240.00",6.51M,-0.75%
11/17/2021,"26,640.00","26,520.00","26,800.00","26,240.00",5.45M,0.45%
11/18/2021,"26,000.00","26,800.00","26,800.00","26,000.00",6.87M,-2.40%
11/19/2021,"26,760.00","26,160.00","27,120.00","26,040.00",12.24M,2.92%
11/22/2021,"27,320.00","26,800.00","27,840.00","26,400.00",11.44M,2.09%
11/23/2021,"27,160.00","27,400.00","27,440.00","26,960.00",4.80M,-0.59%
11/24/2021,"28,280.00","27,120.00","28,360.00","27,000.00",17.87M,4.12%
11/25/2021,"28,120.00","28,400.00","28,440.00","27,960.00",8.85M,-0.57%
11/26/2021,"27,680.00","28,120.00","28,240.00","27,680.00",7.76M,-1.56%
11/29/2021,"27,320.00","27,040.00","27,440.00","27,040.00",7.62M,-1.30%
11/30/2021,"26,640.00","27,520.00","27,600.00","26,560.00",7.68M,-2.49%
12/1/2021,"26,800.00","26,480.00","26,800.00","26,440.00",4.53M,0.60%
12/2/2021,"26,560.00","26,880.00","26,880.00","26,560.00",3.31M,-0.90%
12/3/2021,"26,040.00","26,720.00","26,840.00","26,040.00",6.15M,-1.96%
12/6/2021,"25,840.00","25,840.00","26,240.00","25,320.00",8.12M,-0.77%
12/7/2021,"26,360.00","26,000.00","26,360.00","25,680.00",3.53M,2.01%
12/8/2021,"26,480.00","26,120.00","26,720.00","26,040.00",3.63M,0.46%
12/9/2021,"26,640.00","26,400.00","26,640.00","26,240.00",2.70M,0.60%
12/10/2021,"26,720.00","26,560.00","26,880.00","26,480.00",5.91M,0.30%
12/13/2021,"26,720.00","26,840.00","27,040.00","26,640.00",3.77M,0.00%
12/14/2021,"26,640.00","26,640.00","26,800.00","26,480.00",2.66M,-0.30%
12/15/2021,"26,720.00","26,480.00","26,840.00","26,440.00",2.65M,0.30%
12/16/2021,"26,400.00","26,800.00","26,840.00","26,400.00",2.88M,-1.20%
12/17/2021,"26,560.00","26,520.00","26,640.00","26,440.00",3.00M,0.61%
12/20/2021,"26,480.00","26,560.00","26,640.00","26,280.00",4.12M,-0.30%
12/21/2021,"26,240.00","26,360.00","26,360.00","26,240.00",3.03M,-0.91%
12/22/2021,"26,160.00","26,120.00","26,360.00","26,120.00",4.23M,-0.30%
12/23/2021,"26,000.00","26,080.00","26,120.00","25,600.00",5.17M,-0.61%
12/24/2021,"26,400.00","26,000.00","26,520.00","25,760.00",5.47M,1.54%
12/27/2021,"26,520.00","26,640.00","26,640.00","26,320.00",3.07M,0.45%
12/28/2021,"26,920.00","26,520.00","27,000.00","26,440.00",4.35M,1.51%
12/29/2021,"27,040.00","27,080.00","27,360.00","26,960.00",4.77M,0.45%
12/30/2021,"27,120.00","26,960.00","27,200.00","26,800.00",2.27M,0.30%
12/31/2021,"27,600.00","27,200.00","27,640.00","27,200.00",7.06M,1.77%
1/4/2022,"27,520.00","27,840.00","27,840.00","27,400.00",5.69M,-0.29%
1/5/2022,"26,960.00","27,480.00","27,480.00","26,920.00",7.42M,-2.03%
1/6/2022,"27,000.00","26,800.00","27,200.00","26,480.00",7.09M,0.15%
1/7/2022,"26,640.00","27,120.00","27,160.00","26,640.00",4.15M,-1.33%
1/10/2022,"26,400.00","26,400.00","26,720.00","26,360.00",7.12M,-0.90%
1/11/2022,"26,200.00","26,400.00","26,440.00","26,160.00",7.99M,-0.76%
1/12/2022,"26,480.00","26,160.00","26,840.00","26,040.00",9.74M,1.07%
1/13/2022,"26,680.00","26,920.00","27,400.00","26,520.00",8.14M,0.76%
1/14/2022,"26,440.00","26,680.00","26,760.00","26,400.00",2.43M,-0.90%
1/17/2022,"26,200.00","26,480.00","26,920.00","26,200.00",9.11M,-0.91%
1/18/2022,"26,240.00","26,200.00","26,440.00","25,840.00",5.34M,0.15%
1/19/2022,"26,400.00","26,240.00","26,640.00","26,240.00",2.63M,0.61%
1/20/2022,"26,360.00","26,400.00","26,520.00","26,160.00",4.27M,-0.15%
1/21/2022,"26,760.00","26,360.00","27,200.00","26,320.00",5.51M,1.52%
1/24/2022,"27,480.00","26,800.00","27,920.00","26,800.00",16.48M,2.69%
1/25/2022,"27,880.00","27,480.00","28,040.00","27,480.00",5.35M,1.46%
1/26/2022,"28,360.00","28,000.00","28,760.00","28,000.00",10.62M,1.72%
1/27/2022,"27,920.00","28,320.00","28,320.00","27,640.00",7.58M,-1.55%
1/28/2022,"27,640.00","27,920.00","28,000.00","27,520.00",12.82M,-1.00%
2/7/2022,"27,760.00","28,000.00","28,120.00","27,720.00",5.69M,0.43%
2/8/2022,"28,600.00","27,760.00","28,800.00","27,760.00",40.58M,3.03%
2/9/2022,"28,480.00","28,720.00","28,760.00","28,400.00",12.69M,-0.42%
2/10/2022,"28,440.00","28,480.00","28,640.00","28,280.00",9.54M,-0.14%
2/11/2022,"28,560.00","28,240.00","29,080.00","28,200.00",11.97M,0.42%
2/14/2022,"27,200.00","28,320.00","28,480.00","27,200.00",16.44M,-4.76%
2/15/2022,"27,600.00","27,240.00","27,600.00","27,200.00",8.29M,1.47%
2/16/2022,"27,360.00","27,760.00","27,760.00","27,200.00",6.37M,-0.87%
2/17/2022,"27,440.00","27,320.00","27,560.00","27,280.00",4.89M,0.29%
2/18/2022,"27,080.00","27,280.00","27,400.00","26,960.00",9.15M,-1.31%
2/21/2022,"27,520.00","27,120.00","27,520.00","26,840.00",9.11M,1.62%
2/22/2022,"27,760.00","27,200.00","27,760.00","26,880.00",10.12M,0.87%
2/23/2022,"27,680.00","27,840.00","28,080.00","27,680.00",7.32M,-0.29%
2/24/2022,"27,560.00","27,480.00","27,680.00","26,760.00",11.12M,-0.43%
2/25/2022,"27,480.00","27,600.00","27,800.00","27,440.00",6.89M,-0.29%
2/28/2022,"27,120.00","27,440.00","27,480.00","27,120.00",4.82M,-1.31%
3/1/2022,"27,080.00","27,200.00","27,200.00","26,840.00",7.01M,-0.15%
3/2/2022,"26,320.00","26,960.00","27,200.00","26,320.00",17.35M,-2.81%
