"Date","Price","Open","High","Low","Vol.","Change %"
"11/18/2020","15,700.0","15,600.0","15,800.0","15,500.0","7.24M","0.64%"
"11/19/2020","15,700.0","15,600.0","16,000.0","15,500.0","9.68M","0.00%"
"11/20/2020","14,800.0","15,000.0","15,300.0","14,700.0","5.48M","-5.73%"
"11/23/2020","14,800.0","14,800.0","15,000.0","14,500.0","5.61M","0.00%"
"11/24/2020","14,900.0","14,900.0","15,200.0","14,600.0","11.35M","0.68%"
"11/25/2020","15,200.0","14,800.0","15,600.0","14,800.0","9.55M","2.01%"
"11/26/2020","15,100.0","15,300.0","15,400.0","15,000.0","3.34M","-0.66%"
"11/27/2020","15,000.0","15,100.0","15,100.0","14,800.0","4.41M","-0.66%"
"11/30/2020","14,700.0","15,100.0","15,100.0","14,700.0","7.24M","-2.00%"
"12/01/2020","14,900.0","14,700.0","15,000.0","14,200.0","9.03M","1.36%"
"12/02/2020","14,700.0","14,900.0","14,900.0","14,600.0","6.92M","-1.34%"
"12/03/2020","15,400.0","14,800.0","15,600.0","14,700.0","13.03M","4.76%"
"12/04/2020","15,400.0","15,500.0","15,800.0","15,400.0","5.86M","0.00%"
"12/07/2020","15,500.0","15,500.0","15,600.0","15,300.0","4.99M","0.65%"
"12/08/2020","15,300.0","15,500.0","15,500.0","15,200.0","6.86M","-1.29%"
"12/09/2020","15,400.0","15,300.0","15,600.0","15,200.0","5.59M","0.65%"
"12/10/2020","15,000.0","15,500.0","15,600.0","14,900.0","7.87M","-2.60%"
"12/11/2020","15,400.0","15,100.0","15,400.0","15,000.0","6.22M","2.67%"
"12/14/2020","15,900.0","15,400.0","16,000.0","15,400.0","11.80M","3.25%"
"12/15/2020","15,700.0","15,900.0","15,900.0","15,500.0","6.77M","-1.26%"
"12/16/2020","16,000.0","15,600.0","16,300.0","15,600.0","9.58M","1.91%"
"12/17/2020","16,000.0","16,000.0","16,200.0","15,700.0","11.71M","0.00%"
"12/18/2020","16,100.0","16,000.0","16,300.0","16,000.0","5.27M","0.63%"
"12/21/2020","16,400.0","16,100.0","16,600.0","15,900.0","11.74M","1.86%"
"12/22/2020","16,300.0","16,400.0","16,500.0","16,100.0","8.04M","-0.61%"
"12/23/2020","16,100.0","16,200.0","16,500.0","16,000.0","8.95M","-1.23%"
"12/24/2020","16,000.0","16,100.0","16,400.0","15,300.0","11.20M","-0.62%"
"12/25/2020","16,200.0","16,000.0","16,300.0","15,900.0","5.51M","1.25%"
"12/28/2020","17,800.0","16,200.0","17,800.0","16,200.0","21.39M","9.88%"
"12/29/2020","17,800.0","17,800.0","18,400.0","17,700.0","11.61M","0.00%"
"12/30/2020","17,700.0","17,700.0","18,000.0","17,500.0","8.99M","-0.56%"
"12/31/2020","17,800.0","17,600.0","18,000.0","17,300.0","11.40M","0.56%"
"01/04/2021","18,800.0","17,800.0","19,100.0","17,800.0","14.07M","5.62%"
"01/05/2021","18,700.0","18,700.0","18,900.0","18,400.0","10.00M","-0.53%"
"01/06/2021","19,100.0","18,900.0","19,500.0","18,600.0","12.66M","2.14%"
"01/07/2021","20,100.0","19,200.0","20,200.0","18,700.0","13.32M","5.24%"
"01/08/2021","20,500.0","20,100.0","21,000.0","19,800.0","11.01M","1.99%"
"01/11/2021","21,000.0","20,700.0","21,600.0","20,700.0","10.44M","2.44%"
"01/12/2021","20,900.0","21,200.0","21,300.0","20,300.0","11.63M","-0.48%"
"01/13/2021","20,500.0","21,100.0","21,600.0","20,300.0","15.48M","-1.91%"
"01/14/2021","20,800.0","20,500.0","20,900.0","20,300.0","7.62M","1.46%"
"01/15/2021","21,600.0","20,900.0","21,800.0","20,800.0","13.94M","3.85%"
"01/18/2021","20,900.0","21,600.0","21,800.0","20,800.0","12.17M","-3.24%"
